,TOV,L,Opp.,AST,3P,FG,SRS,PF,ORB,FG%,BLK,3P%,STL,school,Rk,W,FGA,G,FT,Tm.,TRB,School,FTA,3PA,W-L%,SOS,FT%,MP
,408,9,2490,425,241,827,-6.24,569,372,.421,83,.349,189,Bowling Green,29,6,1963,32,534,2429,1226,Bowling Green State,730,690,.500,-2.74,.732,1305
,441,9,2136,447,217,768,2.09,626,359,.430,130,.353,214,Bradley,30,4,1788,33,470,2223,1178,Bradley,665,614,.606,0.37,.707,1320
,393,5,2286,520,219,885,8.56,572,232,.484,128,.352,218,BYU,31,7,1829,34,528,2517,1109,Brigham Young,701,622,.706,1.76,.753,1375
,364,11,2133,338,186,695,-7.60,565,310,.426,81,.316,174,Brown,32,3,1631,27,504,2080,988,Brown,667,588,.407,-4.49,.756,1100
,401,17,2582,417,259,771,-18.34,600,312,.410,43,.344,190,Bryant,33,2,1880,31,368,2169,1000,Bryant,522,754,.097,-5.02,.705,1245
,429,8,2477,492,269,942,4.26,632,317,.472,151,.343,191,Bucknell,34,10,1995,34,606,2759,1253,Bucknell NCAA,845,784,.735,-4.03,.717,1380
,426,5,2579,576,329,1045,7.64,719,407,.474,143,.371,217,Buffalo,35,8,2205,34,464,2883,1326,Buffalo NCAA,666,887,.765,-0.54,.697,1375
,369,7,2402,462,270,964,16.44,602,303,.472,97,.356,222,Butler,36,3,2041,33,413,2611,1125,Butler NCAA,536,759,.606,10.11,.771,1350
,366,13,2302,372,267,721,-11.21,564,291,.397,122,.357,154,Cal Poly,37,1,1817,31,373,2082,1034,Cal Poly,478,747,.290,-1.49,.780,1270
,416,12,2068,387,185,697,-6.16,597,341,.417,87,.302,182,CSU Bakersfield,38,3,1670,30,402,1981,1067,Cal State Bakersfield,579,613,.400,-0.31,.694,1200
,438,7,2171,396,163,786,-0.51,553,274,.470,101,.338,198,Cal St. Fullerton,39,7,1671,31,535,2270,1089,Cal State Fullerton NCAA,729,482,.645,-1.51,.734,1250
,365,13,2206,364,186,731,-13.16,533,247,.433,74,.361,149,CSUN,40,2,1688,30,335,1983,940,Cal State Northridge,473,515,.200,-3.20,.708,1215
,414,6,2172,393,208,812,1.22,621,257,.467,75,.375,227,UC Davis,41,9,1737,32,497,2329,1035,UC-Davis,694,555,.688,-1.98,.716,1320
,487,10,2350,430,220,900,0.16,719,420,.437,140,.335,178,UC Irvine,42,7,2061,35,420,2440,1443,UC-Irvine,593,657,.514,0.04,.708,1410
,428,13,2163,387,185,716,-8.14,617,312,.402,95,.310,190,UC Riverside,43,3,1780,31,407,2024,1089,UC-Riverside,579,597,.290,-1.18,.703,1245
,337,6,2211,481,257,877,2.50,536,326,.464,118,.381,154,UC Santa Barbara,44,9,1891,32,414,2425,1176,UC-Santa Barbara,594,674,.719,-2.97,.697,1285
,470,8,2483,313,148,767,-2.88,648,426,.406,154,.286,220,California,45,3,1887,32,484,2166,1139,University of California,717,518,.250,6.57,.675,1285
,376,10,2191,445,283,813,-6.20,533,217,.476,123,.385,205,Campbell,46,4,1708,31,442,2351,1004,Campbell,594,735,.516,-6.98,.744,1250
,420,8,2266,542,297,878,0.78,602,327,.467,93,.351,218,Canisius,47,8,1880,32,388,2441,1073,Canisius,545,845,.656,-4.69,.712,1280
,453,11,2596,532,273,921,-5.17,658,333,.455,166,.363,220,Central Ark.,48,7,2025,33,553,2668,1193,Central Arkansas,751,753,.515,-5.92,.736,1340
,473,14,2300,396,198,788,-11.25,549,321,.453,107,.329,161,Central Conn. St.,49,6,1740,32,397,2171,1130,Central Connecticut State,568,601,.438,-7.22,.699,1305
,431,6,1975,339,177,690,5.17,488,305,.424,111,.329,169,UCF,50,5,1627,32,450,2007,1108,Central Florida,702,538,.594,4.17,.641,1285
,397,8,2483,456,329,894,-0.93,550,382,.434,116,.340,218,Central Mich.,51,4,2062,34,549,2666,1241,Central Michigan,681,968,.588,-3.19,.806,1385
,408,10,2133,368,208,802,-8.20,517,345,.447,106,.330,224,Charleston So.,52,6,1793,31,420,2232,1071,Charleston Southern,581,631,.484,-6.20,.723,1260
,428,12,2317,319,198,706,-10.44,524,269,.432,65,.352,165,Charlotte,53,2,1634,29,456,2066,990,Charlotte,637,563,.207,-0.04,.716,1165
,461,14,2424,421,276,784,-10.90,507,306,.435,67,.355,166,Chattanooga,54,1,1804,33,445,2289,1069,Chattanooga,626,777,.303,-3.87,.711,1345
,483,19,2756,367,169,774,-21.28,697,323,.408,81,.308,232,Chicago St.,55,0,1896,32,454,2171,1041,Chicago State,627,549,.094,1.42,.724,1280
,389,2,1943,543,248,893,20.87,535,444,.453,188,.357,248,Cincinnati,56,9,1972,34,498,2532,1323,Cincinnati NCAA,725,695,.882,3.54,.687,1360
,477,12,2819,528,386,889,-13.51,586,374,.414,99,.341,301,The Citadel,57,3,2148,32,475,2639,1183,Citadel,673,1133,.344,-2.82,.706,1290
,387,6,2106,422,266,809,16.51,512,286,.453,155,.366,182,Clemson,58,4,1786,32,461,2345,1136,Clemson NCAA,609,726,.719,9.04,.757,1290
,458,15,2613,456,294,853,-10.77,595,270,.435,90,.341,231,Cleveland St.,59,2,1963,35,402,2402,1063,Cleveland State,572,863,.343,-3.59,.703,1410
,479,7,2241,418,218,787,-3.63,608,388,.434,116,.330,171,Coastal Caro.,60,5,1813,32,506,2298,1243,Coastal Carolina,702,660,.438,-2.11,.721,1290
,352,10,2243,414,299,809,-4.88,518,287,.441,106,.362,196,Colgate,61,6,1833,32,409,2326,1048,Colgate,532,827,.594,-5.91,.769,1280
,318,6,2269,377,254,852,1.62,540,280,.460,119,.363,171,Col. of Charleston,62,7,1854,33,520,2478,1089,College of Charleston NCAA,685,699,.788,-3.80,.759,1345
,426,10,2537,409,225,811,-3.57,624,375,.418,102,.329,190,Colorado St.,63,3,1941,32,467,2314,1200,Colorado State,651,684,.344,4.08,.717,1295
,451,10,2337,409,241,810,6.55,619,324,.440,122,.358,140,Colorado,64,1,1840,32,446,2307,1198,Colorado,612,673,.531,7.49,.729,1295
,338,14,2085,384,269,746,-5.56,504,277,.442,93,.367,177,Columbia,65,1,1686,27,301,2062,962,Columbia,407,733,.296,-2.94,.740,1090
,403,9,2340,334,215,762,1.48,592,324,.416,119,.326,190,UConn,66,2,1832,32,442,2181,1096,Connecticut,593,659,.438,6.45,.745,1300
,462,20,2384,338,265,657,-20.77,649,273,.360,82,.305,172,Coppin St.,67,1,1825,32,366,1945,1082,Coppin State,495,870,.156,-7.05,.739,1305
,376,11,2250,449,217,744,-8.66,498,232,.461,97,.340,144,Cornell,68,4,1613,28,419,2124,961,Cornell,574,639,.429,-3.11,.730,1150
,358,7,2375,576,334,985,16.89,480,232,.497,85,.376,181,Creighton,69,4,1982,32,393,2697,1161,Creighton NCAA,526,889,.656,8.05,.747,1290
,365,14,1970,357,200,651,-10.16,421,208,.448,87,.359,152,Dartmouth,70,1,1454,27,339,1841,849,Dartmouth,475,557,.259,-3.85,.714,1085
,306,8,2162,539,342,875,11.24,481,218,.483,63,.391,153,Davidson,71,6,1813,32,354,2446,1050,Davidson NCAA,444,874,.656,2.37,.797,1295
,425,10,2277,488,248,804,1.85,510,240,.481,78,.337,162,Dayton,72,1,1671,31,388,2244,965,Dayton,531,736,.452,2.91,.731,1260
,489,18,2458,348,192,742,-24.45,560,337,.417,83,.325,189,Delaware St.,73,0,1781,32,358,2034,1066,Delaware State,516,591,.125,-9.19,.694,1300
,354,10,2428,386,192,859,-6.86,554,314,.457,75,.329,164,Delaware,74,4,1880,33,428,2338,1150,Delaware,657,584,.424,-2.89,.651,1330
,451,9,2189,452,211,803,-4.87,561,311,.472,72,.400,129,Denver,75,3,1700,30,375,2192,1108,Denver,540,527,.500,-2.19,.694,1220
,430,7,2289,465,194,819,6.64,553,383,.428,94,.310,200,DePaul,76,4,1912,31,398,2230,1160,DePaul,562,626,.355,8.55,.708,1245
,435,11,2743,437,281,883,-12.45,648,334,.435,88,.345,212,Detroit Mercy,77,2,2031,32,469,2516,1114,Detroit Mercy,621,815,.250,-2.05,.755,1285
,396,10,2414,493,284,837,-0.27,509,264,.438,84,.366,199,Drake,78,4,1913,33,476,2434,1115,Drake,615,777,.515,0.57,.774,1350
,409,11,2591,380,227,880,-7.09,583,369,.441,138,.325,176,Drexel,79,2,1994,33,467,2454,1197,Drexel,646,699,.394,-2.37,.723,1340
,416,5,2297,578,274,1008,25.00,515,447,.493,177,.378,248,Duke,80,6,2044,33,505,2795,1379,Duke NCAA,713,725,.788,9.91,.708,1325
,383,7,2245,382,261,801,-0.85,598,387,.427,140,.350,186,Duquesne,81,2,1874,32,454,2317,1149,Duquesne,663,745,.500,-3.10,.685,1310
,431,8,2248,388,182,741,-8.45,530,292,.430,93,.305,148,East Carolina,82,2,1723,30,329,1993,1015,East Carolina,494,597,.333,0.05,.666,1215
,454,4,2241,500,244,926,3.95,613,352,.473,146,.343,265,ETSU,83,11,1957,34,460,2556,1265,East Tennessee State,648,711,.735,-3.86,.710,1360
,417,12,2120,392,224,732,-8.17,509,331,.424,138,.357,182,Eastern Ill.,84,4,1726,31,377,2065,1064,Eastern Illinois,551,627,.387,-3.24,.684,1245
